construct_id,level,display_label,plain_language_label,what_it_captures,sample_item_1,sample_item_2,sample_item_source,studies_fielded,theoretical_heritage,reliability_min,reliability_max,reliability_median,reliability_source,reliability_n_values
THREAT_GAY,higher-order,"Ideological threat (LGBT+ facet, S5)",Threat felt about LGBT+ visibility,S5 facet of affective threat focused on perceived LGBT+ rights / visibility menace.,I am worried about the spread of LGBT+ propaganda.,I’m outraged when thinking about the promotion LGBT+ ideas.,item_mapping_overview / THREAT / S5,S5,"Intergroup threat theory (Stephan et al., 2009)",0.9670833403553494,0.9676229773555762,0.9673531588554628,scale_diagnostics,2
THREAT_LONG,higher-order,Ideological-threat affective composite (S4 long form),Felt threat to our way of life — long form,"S4 long-form THREAT block (eight indicators): same construct as THREAT, extended to support metric-invariance estimation.",I’m worried that our ways of life are sought to be destroyed.,I’m worried that my country is being exploited by foreign countries.,item_mapping_overview / THREAT / S4,S4,"Intergroup threat theory (Stephan et al., 2009)",0.8557210265268097,0.8594504760345363,0.857585751280673,scale_diagnostics,2
THREAT_MIGR,higher-order,"Ideological threat (immigration facet, S5)",Threat felt about immigration,S5 facet of affective threat focused on immigration-driven cultural change.,I am angry because immigration is changing our way of life for the worse.,I feel worried because of uncontrolled immigration.,item_mapping_overview / THREAT / S5,S5,"Intergroup threat theory (Stephan et al., 2009)",0.9001748559939382,0.9035126037610068,0.9018437298774725,scale_diagnostics,2
ABANF,first-order,Unprotected by international allies,Distrust of NATO / EU / international allies,"Belief that the EU, NATO, or other international allies will not defend the nation or are weak / unreliable.",EU is weak and has no power.,NATO will not be brave enough to defend our nation in case of military conflict.,item_mapping_overview / Unprotected by international allies / S3,"S2, S3","Trust in international institutions (OECD, 2017)",0.8688545909294849,0.9128069094966624,0.9085287417314623,both,12
ABANH,first-order,Abandoned by own state,Sense that the state has abandoned its citizens,Belief that the home state has failed in its protective and provisioning duties.,My state has abandoned its citizens.,My state is exploiting its citizens.,item_mapping_overview / Abandoned by own state / S3,"S2, S3","Institutional trust & external efficacy (OECD, 2017; Niemi et al., 1991)",0.9151673778387088,0.9430631596919689,0.9257319631067066,both,12
ABANM,first-order,Abandoned by media (state censorship),Belief that mainstream media censor truth,Belief that domestic state or mainstream media restrict access to truthful information / propagate lies.,My state is censoring access to truthful information.,My state is supporting media you cannot trust.,item_mapping_overview / Abandoned by media (censorship) / S3,"S2, S3","Media distrust / perceived censorship (OECD, 2017)",0.9381084331895576,0.9619286527624484,0.9511723014869153,both,10
ABAN_STATE,first-order,Abandoned by own state (S5 legacy label),Sense that the state has abandoned us — S5 wording,S5 precursor of ABANH; retired in the canonical SEM catalogue.,My state has abandoned its citizens.,My state is exploiting its citizens.,item_mapping_overview / Abandoned by own state / S5,S5,"Institutional trust & external efficacy (OECD, 2017; Niemi et al., 1991)",0.9197056854991736,0.9241851847176452,0.9219454351084094,scale_diagnostics,2
ANXK,first-order,Pragmatism China (S1 legacy label),Anxiety / pragmatism toward China — S1 wording,S1 precursor of PRAGCH; retired in the canonical SEM catalogue.,It is a mistake that we are not allowed to collaborate with states such as China.,Taiwan should finally stop provoking China.,item_mapping_overview / Pragmatism China / S1,S1,"Threat-driven accommodation; affective intergroup threat (Stephan et al., 2009)",0.9214958033820322,0.9219831348356756,0.9217394691088538,scale_diagnostics,2
ANXR,first-order,Pragmatism Russia (S1 legacy label),Anxiety / pragmatism toward Russia — S1 wording,S1 precursor of PRAGR; retired in the canonical SEM catalogue.,It is a mistake that we are not allowed to collaborate with such states as Russia.,Countries like Ukraine should finally start building good relations with Russia.,item_mapping_overview / Pragmatism Russia / S1,S1,"Threat-driven accommodation; affective intergroup threat (Stephan et al., 2009)",0.9236301134565148,0.9251358483787016,0.9243829809176082,scale_diagnostics,2
CEN,first-order,Abandoned by media (S5 label),Belief that mainstream media censor truth — S5 wording,S5 precursor of ABANM; retired in the canonical SEM catalogue.,My state is censoring access to truthful information.,My state is supporting media you cannot trust.,item_mapping_overview / Abandoned by media (censorship) / S5,S5,"Media distrust / perceived censorship (OECD, 2017)",0.9381084331895576,0.938790242243452,0.93844933771650485,scale_diagnostics,2
CET,first-order,Poisonous ethnocentrism,Aggressive nation-first ethnocentrism,"Belief that the in-group's interests should override outsiders' by any means, often paired with anti-EU / anti-NATO suspicion.",Our national interests are more important than other countries' interests.,We should protect our nation's interests by any means necessary.,item_mapping_overview / Poisonous ethnocentrism / S5,S5,"Ethnocentrism / authoritarian deference (Altemeyer, 1988)",0.7449887342686021,0.9245252521037371,0.7876380355202495,both,10
EXPL,first-order,Exploitation by foreign powers,Belief that foreign powers exploit our nation,"Conviction that foreign countries or Western institutions extract value, resources, or sovereignty from the in-group.",We are unable to use our nation’s greatest potential because foreign countries are exploiting us.,Foreign countries are exploiting our nation’s resources.,item_mapping_overview / Exploitation / S5,"S2, S3, S5","Perceived foreign exploitation; realistic intergroup threat (Stephan et al., 2009)",0.776815565002526,0.9365282546092604,0.9022047353670297,both,14
GAY,first-order,LGBT+ opposition,Opposition to LGBT+ rights,Belief that the LGBT+ movement is a threat to traditional values and that LGBT+ rights advocacy is a foreign imposition.,We should protect and enforce traditional gender roles.,The LGBT+ movement is a threat to our values.,item_mapping_overview / The LGBT+ / S5,"S1, S2, S3, S5","Symbolic intergroup threat from LGBT+ rights (Stephan et al., 2009)",0.9022720886468096,0.9560717650677206,0.9343669869395408,both,16
LEFT,first-order,Abandoned (S1 legacy label),Sense of being left behind — S1 wording,S1 precursor mapped to ABAND in the canonical higher-order vocabulary.,My state has abandoned its citizens.,My state is exploiting its citizens.,item_mapping_overview / Abandoned by own state / S1,S1,"Institutional trust & political grievance (OECD, 2017; Akkerman et al., 2014)",0.7949411004326163,0.7951238131628962,0.7950324567977562,scale_diagnostics,2
LONE,first-order,Abandoned by own state (S1 legacy label),Sense that the state has abandoned us — S1 wording,S1 precursor of ABANH; retired in the canonical SEM catalogue.,My state has abandoned its citizens.,My state is exploiting its citizens.,item_mapping_overview / Abandoned by own state / S1,S1,"Institutional trust & external efficacy (OECD, 2017; Niemi et al., 1991)",0.9153942755253262,0.916328573250048,0.915861424387687,scale_diagnostics,2
MIGR,first-order,Immigration / xenophobia,Hostility to immigration,Belief that immigration harms the nation and that stricter anti-immigration policy is needed.,The EU is unable to handle immigration.,Immigrants are changing Europe for the worse.,item_mapping_overview / Immigration / S5,"S1, S2, S3, S5","Intergroup threat from immigration (Stephan et al., 2009)",0.8216249867984415,0.9493726170867532,0.8996196308489549,both,15
PRAGCH,first-order,Pragmatism China (cognitive),Cognitive case for accommodating China,Belief-level rationale for cooperating with / not provoking China.,It is a mistake that we are not allowed to collaborate with states such as China.,Taiwan should finally stop provoking China.,item_mapping_overview / Pragmatism China / S5,S5,"Threat-driven accommodation; affective intergroup threat (Stephan et al., 2009)",0.87207904451093,0.9356070744381738,0.9039036454050453,both,10
PRAGR,first-order,Pragmatism Russia (cognitive),Cognitive case for accommodating Russia,Belief-level rationale for cooperating with / not provoking Russia.,It is a mistake that we are not allowed to collaborate with such states as Russia.,Countries like Ukraine should finally start building good relations with Russia.,item_mapping_overview / Pragmatism Russia / S5,"S2, S3, S5","Threat-driven accommodation; affective intergroup threat (Stephan et al., 2009)",0.8571732978812624,0.940133081179782,0.9073438937109393,both,14
RULE,first-order,Foreign-rule acceptance composite (S1 only),Acceptance of foreign-power rule — S1 only,S1 hybrid block combining Russia and China rule-acceptance items; not carried forward into the canonical SEM catalogue.,Russia will reemerge as the most powerful nation in the world.,,item_mapping_overview / Superiority Russia / S1,S1,Outgroup attitudes / feeling-thermometer tradition,0.7841019352844201,0.7843900528726199,0.78424599407852,scale_diagnostics,2
SAFE,first-order,Unprotected by allies (S1 legacy label),Distrust of international allies — S1 wording,S1 precursor of ABANF; retired in the canonical SEM catalogue.,EU is weak and has no power.,NATO will not be brave enough to defend our nation in case of military conflict.,item_mapping_overview / Unprotected by international allies / S1,S1,"Trust in international institutions (OECD, 2017)",0.8336075197963617,0.8349176857263974,0.8342626027613795,scale_diagnostics,2
SUPCH,first-order,Superiority of China (beliefs),Belief that China is a superior civilisation,"Belief-level endorsement of China as technologically, militarily, or culturally superior / a model worth admiring.",China has an important historic mission.,China will reemerge as the most powerful nation in the world.,item_mapping_overview / Superiority China / S5,"S4, S5",Outgroup attitudes / feeling-thermometer tradition,0.909434913405237,0.9518015507378946,0.9326786792756712,both,12
SUPK,first-order,Superiority of China (S1 legacy label),Belief that China is superior — S1 wording,S1 precursor of SUPCH; retired in the canonical SEM catalogue.,China has an important historic mission.,China will reemerge as the most powerful nation in the world.,item_mapping_overview / Superiority China / S1,S1,Outgroup attitudes / feeling-thermometer tradition,0.9451401607521313,0.9454678833945362,0.9453040220733337,scale_diagnostics,2
SUPR,first-order,Superiority of Russia (beliefs),Belief that Russia is a superior civilisation,"Belief-level endorsement of Russia as technologically, militarily, or culturally superior / a model worth admiring.",Russia has an important historic mission.,Russia will reemerge as the most powerful nation in the world.,item_mapping_overview / Superiority Russia / S5,"S1, S2, S3, S4, S5",Outgroup attitudes / feeling-thermometer tradition,0.9181035262999886,0.9670735367648616,0.9498041504774419,both,18
UNP,first-order,Unprotected by allies (S5 legacy label),Distrust of international allies — S5 wording,S5 precursor of ABANF; retired in the canonical SEM catalogue.,EU is weak and has no power.,NATO will not be brave enough to defend our nation in case of military conflict.,item_mapping_overview / Unprotected by international allies / S5,S5,"Trust in international institutions (OECD, 2017)",0.8688545909294849,0.8746140290522585,0.8717343099908716,scale_diagnostics,2
USE,first-order,Exploitation by foreign powers (S1 legacy label),Belief that foreign powers exploit us — S1 wording,"S1 precursor of EXPL; same construct under the legacy USE label, retired in the canonical SEM catalogue.",We are unable to use our nation’s greatest potential because foreign countries are exploiting us.,Foreign countries are exploiting our nation’s resources.,item_mapping_overview / Exploitation / S1,S1,"Perceived foreign exploitation; realistic intergroup threat (Stephan et al., 2009)",0.9213505520471688,0.9219097515821142,0.9216301518146415,scale_diagnostics,2
FIMI,outcome,Foreign Information Manipulation & Interference,FIMI headline criterion battery,"Eight-item FIMI headline battery. In S1, respondents rated sharing intent, so higher = higher sharing/receptivity. From S2 onward, respondents rated whether the headline is manipulated by a foreign actor, so higher = better detection.",Zelensky bought a British mansion from King Charles for 20 million pounds,France asked Russia not to touch the French military in Ukraine,item_mapping_overview / FIMI News Items / S4,"S1, S2, S3, S4","EEAS (2024) FIMI framework; misinformation discernment (Pennycook & Rand, 2019)",0.5480685273530714,0.9318531300740744,0.7365690678869842,scale_diagnostics,8
FIMI_SHORT,outcome,FIMI (4-item Short DisInformeter criterion),Short-form FIMI headline criterion,"Four-item source-balanced subset (news2, news5, news7, news8). Direction follows the study-specific FIMI criterion: S1 sharing intent; S2 onward detection of foreign manipulation.",France asked Russia not to touch the French military in Ukraine,Gays and transvestites in Kiev are invited to join LGBT brigades,item_mapping_overview / FIMI News Items / S4,"S1, S2, S3, S4","EEAS (2024) FIMI framework; misinformation discernment (Pennycook & Rand, 2019)",0.3980135515211086,0.8224937603519497,0.6100488932215063,scale_diagnostics,8
CLICK_REASONS,descriptive,Click reasons (S4),Why people engage with online content,Self-report motivators for engaging with news / political content.,q11_1,q11_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,0.8583214726887377,0.8591233527803843,0.858722412734561,scale_diagnostics,2
DEM_IMPORT,descriptive,Importance of democracy (S4),How important democracy is personally,Self-rated importance of democratic governance for the respondent's life.,q30,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
EU_SUPPORT,descriptive,EU support (S4),Support for EU membership and project,Diffuse and specific support for the European Union.,q28,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,"Diffuse / specific EU support (ESS, 2024)",,,,,
INST_TRUST,descriptive,Institutional trust battery (S4),Trust in domestic and international institutions,"Trust ratings across courts, police, parliament, EU, UN, etc.",q23_1,q23_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,"Institutional trust (OECD, 2017)",0.8998178325367469,0.9008009314071505,0.9003093819719487,scale_diagnostics,2
LIFE_SAT,descriptive,Life satisfaction (S4),Subjective life satisfaction,Single- or short-form well-being / life-satisfaction item.,q27,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
LR_SCALE,descriptive,Left-right self-placement (S4),Where respondents place themselves on the left-right axis,Single-item left-right self-placement (0–10).,q26,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
MEDIA_FREQ,descriptive,Media consumption frequency (S4),How often people consult different news sources,"Frequency block covering platform / channel use; descriptive only, not a reflective construct.",q3_1,q3_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,0.6076831843808072,0.6168680719359013,0.6122756281583542,scale_diagnostics,2
MISINFO_ACTION,descriptive,Anti-misinformation actions (S4),What people do when they encounter misinformation,"Reported behavioural response when respondent encounters suspected false content (ignore, fact-check, share, report).",q12_1,q12_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
MISINFO_CONF,descriptive,Confidence detecting misinformation (S4),Self-rated ability to spot fake news,Self-efficacy in identifying false content; used as a calibration check.,q4_1,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
MISINFO_FOREIGN,descriptive,Foreign misinformation salience (S4),Whether foreign actors are seen as drivers,Perceived role of foreign powers in producing or amplifying domestic misinformation.,q6_1,q6_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,0.8865141141923605,0.8886832879469669,0.8875987010696638,scale_diagnostics,2
MISINFO_FREE,descriptive,Free-speech / misinformation trade-off (S4),Tension between speech freedom and harm reduction,Attitudes about whether anti-misinformation policy infringes free expression.,q4_4,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
MISINFO_IMPACT,descriptive,Perceived misinformation impact (S4),How harmful misinformation feels in everyday life,Self-reported personal / societal impact of misinformation exposure.,q14_1,q14_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,0.8970738439152647,0.8985589176594504,0.8978163807873576,scale_diagnostics,2
MISINFO_POL,descriptive,Political salience of misinformation (S4),How politically important misinformation is,Perceived political stakes / agenda priority of misinformation issues.,q4_3,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
MISINFO_REGUL,descriptive,Misinformation regulation attitudes (S4),Support for regulating online misinformation,Self-report attitudes toward platform / government regulation of false content.,q4_2,q4_5,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,0.6496648266480012,0.6521391225984126,0.6509019746232069,scale_diagnostics,2
MISINFO_RESP,descriptive,Misinformation responsibility (S4),Who should fix the misinformation problem,Attributed responsibility for solving misinformation (platforms vs. government vs. individuals).,q15_1,q15_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,0.9390811740446156,0.9398948526095412,0.9394880133270784,scale_diagnostics,2
MISINFO_SRC,descriptive,Perceived misinformation sources (S4),Which actors people blame for misinformation,"Attributed responsibility for misinformation production / spread (state actors, platforms, individuals).",q5_1,q5_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,0.8926860711050082,0.8940231838966979,0.893354627500853,scale_diagnostics,2
POL_EFF_EXT,descriptive,External political efficacy (S4),Belief that institutions are responsive,Self-rated belief that political institutions respond to citizens' input.,q21,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,"Political efficacy (Niemi et al., 1991)",,,,,
POL_EFF_INT,descriptive,Internal political efficacy (S4),Belief that one can engage politics competently,Self-rated competence to participate effectively in political processes.,q22,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,"Political efficacy (Niemi et al., 1991)",,,,,
POL_INTEREST,descriptive,Political interest (S4),How much people follow politics,Self-rated interest in political affairs.,q20,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
POL_PARTIC,descriptive,Political participation (S4),Recent political-engagement behaviours,Self-report recent voting / petition / protest / online-political-engagement behaviours.,q25_1,q25_2,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
RELIGIOSITY,descriptive,Religiosity (S4),Self-rated religious importance / practice,Short religiosity / religious-importance battery.,q32,,scale_diagnostics_s1_s5 / S4 (item codes only),S4,—,,,,,
SOC_TRUST,descriptive,Social trust (S4),Generalised trust in other people,Two/three-item generalised-trust battery; descriptive only.,q17,q18,scale_diagnostics_s1_s5 / S4 (item codes only),S4,"Generalised social trust (Reeskens & Hooghe, 2008)",0.8048052103016221,0.8075688231249306,0.8061870167132763,scale_diagnostics,2
CMQ,validation,Conspiracy Mentality Questionnaire (5-item),General disposition to see hidden plots,Bruder et al. five-item conspiracy-mentality scale; used as a nomological anchor in S5.,cmq1,cmq2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Conspiracy mentality (Bruder et al., 2013)",0.8381296002808492,0.84117633655845,0.8396529684196496,scale_diagnostics,2
FEEL_CH,validation,Feeling thermometer — China,Warmth toward China (0–100),Standard feeling-thermometer item: warmth toward China.,feel_ch,,scale_diagnostics_s1_s5 / S5 (item codes only),S5,Outgroup attitudes / feeling-thermometer tradition,,,,,
FEEL_EU,validation,Feeling thermometer — EU,Warmth toward the EU (0–100),Standard feeling-thermometer item: warmth toward the EU.,feel_eu,,scale_diagnostics_s1_s5 / S5 (item codes only),S5,Outgroup attitudes / feeling-thermometer tradition,,,,,
FEEL_NATO,validation,Feeling thermometer — NATO,Warmth toward NATO (0–100),Standard feeling-thermometer item: warmth toward NATO.,feel_nato,,scale_diagnostics_s1_s5 / S5 (item codes only),S5,Outgroup attitudes / feeling-thermometer tradition,,,,,
FEEL_RU,validation,Feeling thermometer — Russia,Warmth toward Russia (0–100),Standard feeling-thermometer item: warmth toward Russia.,feel_ru,,scale_diagnostics_s1_s5 / S5 (item codes only),S5,Outgroup attitudes / feeling-thermometer tradition,,,,,
ITT_IMI,validation,Intergroup-threat scale — immigrants,Felt threat from immigrants,Stephan-style intergroup-threat scale targeted at immigrants.,itt_imi_sym1,itt_imi_sym2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Intergroup threat theory (Stephan et al., 2009)",0.9384685372501392,0.9391432293727864,0.9388058833114628,scale_diagnostics,2
ITT_IMI_REAL,validation,"ITT — immigrants, realistic facet",Material / economic threat from immigrants,Realistic / material facet of the immigrants ITT scale.,itt_imi_real1,itt_imi_real2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Intergroup threat theory (Stephan et al., 2009)",0.928591497765389,0.9292147667964744,0.9289031322809317,scale_diagnostics,2
ITT_IMI_SYM,validation,"ITT — immigrants, symbolic facet",Cultural-value threat from immigrants,Symbolic / value-based facet of the immigrants ITT scale.,itt_imi_sym1,itt_imi_sym2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Intergroup threat theory (Stephan et al., 2009)",0.9649516819083904,0.9654533505033904,0.9652025162058904,scale_diagnostics,2
ITT_LGBT,validation,Intergroup-threat scale — LGBT+,Felt threat from LGBT+ rights,Stephan-style intergroup-threat scale targeted at LGBT+ communities.,itt_lgbt_sym1,itt_lgbt_sym2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Intergroup threat theory (Stephan et al., 2009)",0.9269933940338002,0.930778495718983,0.9288859448763915,scale_diagnostics,2
ITT_LGBT_REAL,validation,"ITT — LGBT+, realistic facet",Material / institutional threat from LGBT+ rights,Realistic / material facet of the LGBT+ ITT scale.,itt_lgbt_real1,itt_lgbt_real2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Intergroup threat theory (Stephan et al., 2009)",0.8190214229180308,0.8391474609245668,0.8290844419212988,scale_diagnostics,2
ITT_LGBT_SYM,validation,"ITT — LGBT+, symbolic facet",Cultural-value threat from LGBT+ rights,Symbolic / value-based facet of the LGBT+ ITT scale.,itt_lgbt_sym1,itt_lgbt_sym2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Intergroup threat theory (Stephan et al., 2009)",0.944822145413968,0.9466324401696437,0.9457272927918059,scale_diagnostics,2
PANAS_NA,validation,I-PANAS-SF — negative affect,Recent negative-affect feelings,Trait negative-affect subscale of the short-form international PANAS.,panas6,panas7,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Negative affect (I-PANAS-SF; Thompson, 2007)",0.8115253324057686,0.8151916267156617,0.8133584795607152,scale_diagnostics,2
PANAS_PA,validation,I-PANAS-SF — positive affect,Recent positive-affect feelings,Trait positive-affect subscale of the short-form international PANAS.,panas1,panas2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Positive affect (I-PANAS-SF; Thompson, 2007)",0.7295693433731134,0.7436888401091813,0.7366290917411473,scale_diagnostics,2
POP,validation,Populist attitudes (Silva 2017),Populist worldview composite,"Pooled populist-attitudes scale (people-centrism, anti-elitism, manichaean outlook).",pop1,pop2_r,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Populist attitudes (Akkerman et al., 2014)",0.39761762530936945,0.4586895514848134,0.4281535883970914,scale_diagnostics,2
POP_ELITE,validation,Populism — anti-elitism facet,Hostility to political elites,Subscale of POP focused on anti-elitism.,pop4,pop6_r,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Populist attitudes (Akkerman et al., 2014)",0.27365470336841174,0.48185356412055685,0.3777541337444843,scale_diagnostics,2
POP_MANI,validation,Populism — Manichaean outlook facet,Good-vs-evil view of politics,Subscale of POP focused on the Manichaean / good-vs-evil framing.,pop8,pop9_r,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Populist attitudes (Akkerman et al., 2014)",0.17551775842694728,0.45101068602858146,0.3132642222277644,scale_diagnostics,2
POP_PEOPLE,validation,Populism — people-centrism facet,Trust in 'ordinary people' over elites,Subscale of POP focused on people-centrism.,pop1,pop2_r,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Populist attitudes (Akkerman et al., 2014)",0.35994160622866883,0.4905719003585392,0.425256753293604,scale_diagnostics,2
RWA,validation,Right-Wing Authoritarianism (short scale),Authoritarian-deference disposition,Short-form right-wing-authoritarianism scale used as nomological-network anchor.,rwa1_r,rwa2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Right-wing authoritarianism (Altemeyer, 1988)",0.5563633790041516,0.6349313146506455,0.5956473468273985,scale_diagnostics,2
TRUST_EU,validation,Institutional trust — EU (ESS),Trust in the European Union,ESS institutional-trust item for the EU.,ptrust6,,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Institutional trust (ESS, 2024)",,,,,
TRUST_LOCAL,validation,Institutional trust — local authorities (ESS),Trust in domestic authorities,ESS institutional-trust item for local / national authorities.,ptrust1,ptrust2,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Institutional trust (ESS, 2024)",0.8552108442895644,0.8600447501128187,0.8576277972011915,scale_diagnostics,2
TRUST_UN,validation,Institutional trust — UN (ESS),Trust in the United Nations,ESS institutional-trust item for the UN.,ptrust7,,scale_diagnostics_s1_s5 / S5 (item codes only),S5,"Institutional trust (ESS, 2024)",,,,,
